korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Sandnes sentrum;Hinnavågen;buss;2024-4;Weekday;13:30-16:30;0,2832215503658174;0,08656732020260663
Forus;Sandnes sentrum;bil;2022-1;Weekday;13:30-16:30;119,3633360389777;74,67114146201534
Dusavika (Randaberg);Forus;sykkel;2019-3;Weekday;08:30-13:30;2,0080472284158155;0,0
Madla;Madla;gange;2024-3;Weekday;20:00-05:30;9,636347096055108;0,0
Hinnavågen;Nærbø;bil;2024-1;Weekend;Weekend;8,116008273020784;21,258879930209936
Klepp;Nærbø;buss;2024-4;Weekday;08:30-13:30;5,346448741626796;5,212732305898793
Dusavika (Randaberg);Sola;bil;2026-1;Weekday;08:30-13:30;16,03824041829599;0,0
Hinnavågen;Bjergsted (Stavanger);sykkel;2024-2;Weekday;05:30-08:30;1,2493076201946063;0,0
Jåsund (Sola);Sandnes sentrum;sykkel;2020-3;Weekday;13:30-16:30;1,0830308986378794;0,0
Jåsund (Sola);Hommersåk;gange;2023-2;Weekday;13:30-16:30;0,0;0,0
Hundvåg;Klepp;bil;2019-4;Weekday;16:30-20:00;1,0947865145065925;2,5220438085260795
Sandnes sentrum;Dusavika (Randaberg);buss;2022-2;Weekday;05:30-08:30;0,12506333809059317;0,2310902288438616
