korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Lura;Hommersåk;sykkel;2022-3;Weekday;08:30-13:30;0,3024366417128677;0,0
Nærbø;Madla;buss;2021-4;Weekday;16:30-20:00;0,0;0,0
Solborg (Stavanger);Nærbø;bil;2024-1;Weekday;08:30-13:30;9,604379265333913;25,575813193998425
Sykehuset;Stavanger sentrum;bil;2021-1;Weekday;08:30-13:30;70,13471144004113;16,575432878623385
Madla;Klepp;bil;2024-3;Weekday;08:30-13:30;11,479514381218598;18,018670342065708
Madla;Sykehuset;gange;2023-4;Weekday;16:30-20:00;8,361348859320657;0,0
Solborg (Stavanger);Ganddal (Sandnes);gange;2025-4;Weekday;08:30-13:30;0,06903867279282236;0,0
Klepp;Bjergsted (Stavanger);buss;2025-2;Weekday;05:30-08:30;0,0;0,0
Paradis (Stavanger);Hommersåk;buss;2020-2;Weekday;08:30-13:30;0,013852251036551688;0,03248382133286569
Ganddal (Sandnes);Solborg (Stavanger);buss;2024-4;Weekend;Weekend;0,6352527312395005;0,6656384002838002
Hommersåk;Bjergsted (Stavanger);sykkel;2019-2;Weekday;08:30-13:30;0,0;0,0
Paradis (Stavanger);Madla;sykkel;2021-2;Weekday;16:30-20:00;2,061870727281899;0,0
Paradis (Stavanger);Bjergsted (Stavanger);buss;2025-2;Weekday;05:30-08:30;0,45355899981732545;0,06209237824089098
Jåsund (Sola);Sandnes sentrum;buss;2023-4;Weekend;Weekend;0,6254045863895792;1,0323607425448194
Sola;Paradis (Stavanger);buss;2023-2;Weekday;08:30-13:30;8,027815800755576;7,294703446667013
Madla;Lura;buss;2025-2;Weekday;16:30-20:00;2,0685809839282236;0,0
Jåsund (Sola);Ganddal (Sandnes);sykkel;2021-4;Weekday;16:30-20:00;0,019992651292858286;0,0
Sykehuset;Hinnavågen;gange;2021-4;Weekday;13:30-16:30;117,13685552853448;0,0
Klepp;Nærbø;bil;2021-4;Weekday;08:30-13:30;371,2453591705396;324,11860454600406
Hundvåg;Madla;bil;2022-3;Weekday;08:30-13:30;7,800403814747113;5,586664381133032
Solborg (Stavanger);Stavanger sentrum;bil;2021-1;Weekday;05:30-08:30;31,630359941399696;7,183710681416691
Stavanger sentrum;Hommersåk;gange;2025-2;Weekday;16:30-20:00;0,2038571541033454;0,0
Sykehuset;Forus;rail;2022-2;Weekday;13:30-16:30;0,3319066555043945;0,0
Solborg (Stavanger);Hommersåk;buss;2025-4;Weekday;16:30-20:00;0,0;0,0
Dusavika (Randaberg);Lura;buss;2023-1;Weekday;05:30-08:30;4,861980989801661;4,943756970727656
Rennesøy;Hinnavågen;gange;2019-4;Weekday;16:30-20:00;0,0;0,0
Sola;Hommersåk;gange;2022-3;Weekday;05:30-08:30;0,0;0,0
Hundvåg;Sykehuset;gange;2024-4;Weekday;05:30-08:30;11,76116790489743;0,0
Solborg (Stavanger);Bjergsted (Stavanger);gange;2025-1;Weekday;05:30-08:30;13,185375153097329;0,0
Rennesøy;Stavanger sentrum;sykkel;2020-3;Weekday;08:30-13:30;0,0;0,0
Dusavika (Randaberg);Nærbø;sykkel;2024-2;Weekday;05:30-08:30;0,0;0,0
Klepp;Solborg (Stavanger);gange;2022-1;Weekday;05:30-08:30;0,0;0,0
Sykehuset;Jåsund (Sola);buss;2021-2;Weekday;08:30-13:30;4,606162309474235;2,8909854161495843
Sola;Madla;sykkel;2022-3;Weekday;05:30-08:30;3,8202863038802093;0,0
Hommersåk;Solborg (Stavanger);bil;2020-4;Weekday;13:30-16:30;1,8908526457718409;4,56809792114501
Forus;Sandnes sentrum;bil;2024-1;Weekend;Weekend;31,601392396938135;16,510714372109064
Nærbø;Forus;bil;2020-1;Weekday;05:30-08:30;46,11113957113116;112,87540013678112
Lura;Madla;gange;2022-3;Weekday;13:30-16:30;16,226166797937744;0,0
Jåsund (Sola);Dusavika (Randaberg);sykkel;2024-1;Weekend;Weekend;4,53005582354656;0,0
